,GAME_ID,MATCHUP
515,0022000275,MIA vs. DEN
516,0022000275,DEN @ MIA
517,0022000283,MIN @ GSW
518,0022000283,GSW vs. MIN
519,0022000274,ATL vs. BKN
520,0022000274,BKN @ ATL
521,0022000281,OKC @ PHX
522,0022000287,HOU vs. POR
523,0022000287,POR @ HOU
524,0022000286,PHX vs. GSW
525,0022000284,LAL @ DET
526,0022000284,DET vs. LAL
527,0022000286,GSW @ PHX
528,0022000285,MIA vs. LAC
529,0022000285,LAC @ MIA
530,0022000292,TOR vs. SAC
531,0022000292,SAC @ TOR
532,0022000288,IND @ CHA
533,0022000288,CHA vs. IND
534,0022000296,DEN @ SAS
535,0022000296,SAS vs. DEN
536,0022000291,CLE @ NYK
537,0022000294,PHI @ MIN
538,0022000293,MIL @ NOP
539,0022000294,MIN vs. PHI
540,0022000291,NYK vs. CLE
541,0022000295,OKC vs. BKN
542,0022000295,BKN @ OKC
543,0022000290,WAS vs. ATL
544,0022000290,ATL @ WAS
545,0022000297,UTA vs. DAL
546,0022000297,DAL @ UTA
547,0022000289,ORL vs. LAC
548,0022000293,NOP vs. MIL
549,0022000289,LAC @ ORL
550,0022000303,PHX @ DAL
551,0022000299,MIL @ CHA
552,0022000302,BOS vs. LAL
553,0022000301,SAC @ MIA
554,0022000300,NOP vs. HOU
555,0022000302,LAL @ BOS
556,0022000298,POR @ CHI
557,0022000305,GSW vs. DET
558,0022000303,DAL vs. PHX
559,0022000298,CHI vs. POR
560,0022000305,DET @ GSW
561,0022000300,HOU @ NOP
562,0022000304,MEM @ SAS
563,0022000304,SAS vs. MEM
564,0022000301,MIA vs. SAC
565,0022000299,CHA vs. MIL
566,0022000310,WAS vs. BKN
567,0022000308,NYK vs. LAC
568,0022000310,BKN @ WAS
569,0022000311,MIN vs. CLE
570,0022000307,IND vs. PHI
571,0022000307,PHI @ IND
572,0022000311,CLE @ MIN
573,0022000309,ORL @ TOR
574,0022000309,TOR vs. ORL
575,0022000308,LAC @ NYK
576,0022000306,UTA @ DEN
577,0022000306,DEN vs. UTA
578,0022000312,MIN @ CLE
579,0022000316,POR @ MIL
580,0022000320,MEM @ SAS
581,0022000320,SAS vs. MEM
582,0022000319,DAL vs. PHX
583,0022000315,NYK @ CHI
584,0022000318,OKC vs. HOU
585,0022000317,SAC @ NOP
586,0022000318,HOU @ OKC
587,0022000313,ATL vs. LAL
588,0022000314,CHA @ MIA
589,0022000315,CHI vs. NYK
590,0022000313,LAL @ ATL
591,0022000314,MIA vs. CHA
592,0022000317,NOP vs. SAC
593,0022000319,PHX @ DAL
594,0022000312,CLE vs. MIN
595,0022000316,MIL vs. POR
596,0022000559,POR @ WAS
597,0022000559,WAS vs. POR
598,0022000325,UTA vs. DET
599,0022000325,DET @ UTA
600,0022000324,LAC @ BKN
601,0022000324,BKN vs. LAC
602,0022000326,BOS @ GSW
603,0022000322,MEM @ IND
604,0022000322,IND vs. MEM
605,0022000326,GSW vs. BOS
606,0022000323,TOR @ ORL
607,0022000323,ORL vs. TOR
608,0022000328,LAC @ CLE
609,0022000331,WAS @ MIA
610,0022000327,PHI @ CHA
611,0022000336,SAC vs. BOS
612,0022000336,BOS @ SAC
613,0022000329,IND @ MIL
614,0022000334,SAS vs. MIN
615,0022000329,MIL vs. IND
616,0022000334,MIN @ SAS
617,0022000335,NOP vs. PHX
618,0022000335,PHX @ NOP
619,0022000328,CLE vs. LAC
620,0022000331,MIA vs. WAS
621,0022000327,CHA vs. PHI
622,0022000333,OKC vs. HOU
623,0022000330,DAL @ ATL
624,0022000332,CHI vs. NYK
625,0022000332,NYK @ CHI
626,0022000333,HOU @ OKC
627,0022000330,ATL vs. DAL
628,0022000337,PHI vs. POR
629,0022000338,UTA @ ATL
630,0022000338,ATL vs. UTA
631,0022000337,POR @ PHI
632,0022000340,MEM vs. HOU
633,0022000339,DAL vs. GSW
634,0022000341,LAL vs. DEN
635,0022000340,HOU @ MEM
636,0022000341,DEN @ LAL
637,0022000339,GSW @ DAL
638,0022000343,NOP @ IND
639,0022000345,TOR @ BKN
640,0022000348,OKC vs. MIN
641,0022000348,MIN @ OKC
642,0022000347,MIA vs. WAS
643,0022000347,WAS @ MIA
644,0022000346,CLE vs. MIL
645,0022000349,DET @ PHX
646,0022000349,PHX vs. DET
647,0022000350,LAC vs. BOS
648,0022000344,CHI @ ORL
